gene,Description
LOC105374942,uncharacterized LOC105374942
GATAD2A,GATA zinc finger domain containing 2A
TMEM37,transmembrane protein 37
EXOC2,exocyst complex component 2
EIF4E2,eukaryotic translation initiation factor 4E family member 2
TIPARP,TCDD inducible poly(ADP-ribose) polymerase
TRBV28,T cell receptor beta variable 28
HDGFL2,HDGF like 2
SYCE2,synaptonemal complex central element protein 2
THAP7-AS1,THAP7 antisense RNA 1
SNORD101,"small nucleolar RNA, C/D box 101"
BRWD1,bromodomain and WD repeat domain containing 1
SFSWAP,splicing factor SWAP
MSMB,microseminoprotein beta
MTF2,metal response element binding transcription factor 2
CCDC74A,coiled-coil domain containing 74A
OSMR-DT,OSMR divergent transcript
CHKB,choline kinase beta
TRNR,tRNA-Arg
LOC101927143,uncharacterized LOC101927143
CCDC61,coiled-coil domain containing 61
RPL13AP6,ribosomal protein L13a pseudogene 6
RUBCNL,rubicon like autophagy enhancer
LOC107984754,
LOC107984313,uncharacterized LOC107984313
SGSM2,small G protein signaling modulator 2
BAZ2B,bromodomain adjacent to zinc finger domain 2B
LOC100506563,uncharacterized LOC100506563
KBTBD7,kelch repeat and BTB domain containing 7
NEMP2,nuclear envelope integral membrane protein 2
HIPK2,homeodomain interacting protein kinase 2
TMEM191B,transmembrane protein 191B
TIGAR,TP53 induced glycolysis regulatory phosphatase
LOC105371291,uncharacterized LOC105371291
EXOSC9,exosome component 9
ZNF208,zinc finger protein 208
FKBP1AP1,FKBP prolyl isomerase 1A pseudogene 1
AARD,alanine and arginine rich domain containing protein
TMEM18,transmembrane protein 18
TSEN2,tRNA splicing endonuclease subunit 2
SNIP1,Smad nuclear interacting protein 1
LACTB,lactamase beta
TRMT13,tRNA methyltransferase 13 homolog
LOC729291,uncharacterized LOC729291
MMAA,metabolism of cobalamin associated A
SNORA41,"small nucleolar RNA, H/ACA box 41"
LOC102724479,uncharacterized LOC102724479
SLC7A9,solute carrier family 7 member 9
GPRC5D-AS1,GPRC5D and HEBP1 antisense RNA 1
FAM86B3P,"family with sequence similarity 86, member A pseudogene"
TIAL1,TIA1 cytotoxic granule associated RNA binding protein like 1
RIMBP3,RIMS binding protein 3
PACS2,phosphofurin acidic cluster sorting protein 2
KPNA4,karyopherin subunit alpha 4
RAB18,"RAB18, member RAS oncogene family"
FAM161B,FAM161 centrosomal protein B
LOC112268437,uncharacterized protein FLJ45252
TICAM2,TIR domain containing adaptor molecule 2
ZNF418,zinc finger protein 418
HIC2,HIC ZBTB transcriptional repressor 2
TTC24,tetratricopeptide repeat domain 24
ZC3H7B,zinc finger CCCH-type containing 7B
INSYN2B,inhibitory synaptic factor family member 2B
GSTM4,glutathione S-transferase mu 4
LINC02767,long intergenic non-protein coding RNA 2767
VAV3,vav guanine nucleotide exchange factor 3
RIPK2,receptor interacting serine/threonine kinase 2
FOXN1,forkhead box N1
SEMA6B,semaphorin 6B
HAS2,hyaluronan synthase 2
MAFK,MAF bZIP transcription factor K
MAPK15,mitogen-activated protein kinase 15
LOC105372431,uncharacterized LOC105372431
EHMT1,euchromatic histone lysine methyltransferase 1
SLC46A3,solute carrier family 46 member 3
RANGRF,RAN guanine nucleotide release factor
TEKTIP1,tektin bundle interacting protein 1
IFT52,intraflagellar transport 52
ZNF334,zinc finger protein 334
HMGN2,high mobility group nucleosomal binding domain 2
NEK9,NIMA related kinase 9
RHCE,Rh blood group CcEe antigens
ELK4,ETS transcription factor ELK4
CYTH3,cytohesin 3
RPL35,ribosomal protein L35
HS3ST2,heparan sulfate-glucosamine 3-sulfotransferase 2
CCND1,cyclin D1
ZNF527,zinc finger protein 527
RCAN2,regulator of calcineurin 2
LOC107985388,pre-mRNA-splicing factor cwc22-like
DOK7,docking protein 7
CLEC4F,C-type lectin domain family 4 member F
CDH4,cadherin 4
METAP2,methionyl aminopeptidase 2
GPCPD1,glycerophosphocholine phosphodiesterase 1
NSD3,nuclear receptor binding SET domain protein 3
SLC29A3,solute carrier family 29 member 3
RNPEPL1,arginyl aminopeptidase like 1
SMAP1,small ArfGAP 1
LOC107984192,uncharacterized LOC107984192
LOC107984258,replaced by ID 107984257
LOC100996583,uncharacterized LOC100996583
MYLK4,myosin light chain kinase family member 4
M6PR,"mannose-6-phosphate receptor, cation dependent"
TSPAN11,tetraspanin 11
ZNF43,zinc finger protein 43
CIR1,"corepressor interacting with RBPJ, CIR1"
CHMP2B,charged multivesicular body protein 2B
GUSBP19,GUSB pseudogene 19
DHRS4L1,dehydrogenase/reductase 4 like 1 (pseudogene)
LOC101929141,coiled-coil domain-containing protein 144A-like
CEP104,centrosomal protein 104
LOC105369607,uncharacterized LOC105369607
ZDHHC20,zinc finger DHHC-type palmitoyltransferase 20
NUS1,NUS1 dehydrodolichyl diphosphate synthase subunit
KDM3B,lysine demethylase 3B
LOC105369842,uncharacterized LOC105369842
GRHPR,glyoxylate and hydroxypyruvate reductase
SYPL1,synaptophysin like 1
TMEM160,transmembrane protein 160
PARP15,poly(ADP-ribose) polymerase family member 15
ESRRB,estrogen related receptor beta
TRBJ2-7,T cell receptor beta joining 2-7
ALKBH3,"alkB homolog 3, alpha-ketoglutarate dependent dioxygenase"
CETN2,centrin 2
TDP2,tyrosyl-DNA phosphodiesterase 2
VDAC3,voltage dependent anion channel 3
DAPL1,death associated protein like 1
MAN2B1,mannosidase alpha class 2B member 1
LOC112267985,
LOC105373880,uncharacterized LOC105373880
ANAPC13,anaphase promoting complex subunit 13
NFE2,"nuclear factor, erythroid 2"
SAMD9,sterile alpha motif domain containing 9
PODN,podocan
SBNO1-AS1,SBNO1 antisense RNA 1
ERVK3-1,endogenous retrovirus group K3 member 1
KLHDC8B,kelch domain containing 8B
MIATNB,MIAT neighbor
ATG5,autophagy related 5
LOC107984770,uncharacterized LOC107984770
VPS39-DT,VPS39 divergent transcript
TCL1A,TCL1 family AKT coactivator A
ZNF346,zinc finger protein 346
CTNS,"cystinosin, lysosomal cystine transporter"
ARL14EP,ADP ribosylation factor like GTPase 14 effector protein
NKAP,NFKB activating protein
HCN4,hyperpolarization activated cyclic nucleotide gated potassium channel 4
ZNF56P,"zinc finger protein 56, pseudogene"
UBE2Q2P16,UBE2Q2 pseudogene 16
LINC01220,long intergenic non-protein coding RNA 1220
LOC107987284,uncharacterized LOC107987284
ZNF384,zinc finger protein 384
SERPINI1,serpin family I member 1
RNASEH2C,ribonuclease H2 subunit C
SDHAF4,succinate dehydrogenase complex assembly factor 4
RNF130,ring finger protein 130
LOC100289656,Dexi homolog (mouse) pseudogene
GTF2B,general transcription factor IIB
LOC105376177,uncharacterized LOC105376177
SHROOM3-AS1,SHROOM3 antisense RNA 1
SUGP1,SURP and G-patch domain containing 1
ZNF420,zinc finger protein 420
FANK1,fibronectin type III and ankyrin repeat domains 1
PLD2,phospholipase D2
DIMT1,DIM1 rRNA methyltransferase and ribosome maturation factor
SORBS2,sorbin and SH3 domain containing 2
HEATR5A-DT,HEATR5A divergent transcript
ACSL3,acyl-CoA synthetase long chain family member 3
SEC14L1P1,SEC14 like 1 pseudogene 1
LOC105377449,
RHOT1,ras homolog family member T1
CTXN1,cortexin 1
LOC105370094,uncharacterized LOC105370094
RAD21-AS1,RAD21 antisense RNA 1
CYFIP2,cytoplasmic FMR1 interacting protein 2
TGFBR1,transforming growth factor beta receptor 1
INTS10,integrator complex subunit 10
LOC107987057,
LOC102723331,uncharacterized LOC102723331
RBFA,ribosome binding factor A
NME6,NME/NM23 nucleoside diphosphate kinase 6
CHM,CHM Rab escort protein
YEATS2-AS1,YEATS2 antisense RNA 1
G2E3,G2/M-phase specific E3 ubiquitin protein ligase
NQO2,N-ribosyldihydronicotinamide:quinone reductase 2
GDF1,growth differentiation factor 1
TM6SF2,transmembrane 6 superfamily member 2
TM4SF19-DYNLT2B,TM4SF19-DYNLT2B readthrough (NMD candidate)
MIR639,microRNA 639
LEMD3,LEM domain containing 3
NCOA7,nuclear receptor coactivator 7
SV2B,synaptic vesicle glycoprotein 2B
LOC646214,p21 (RAC1) activated kinase 2 pseudogene
NCOA5,nuclear receptor coactivator 5
LOC105372345,uncharacterized LOC105372345
TTC38,tetratricopeptide repeat domain 38
COX17,cytochrome c oxidase copper chaperone COX17
C12orf4,chromosome 12 open reading frame 4
TRIM29,tripartite motif containing 29
FUNDC2,FUN14 domain containing 2
TMEM143,transmembrane protein 143
RPH3AL,rabphilin 3A like (without C2 domains)
BBS2,Bardet-Biedl syndrome 2
WDR5,WD repeat domain 5
CHRM3-AS2,CHRM3 antisense RNA 2
LOC107985359,uncharacterized LOC107985359
RAB11FIP3,RAB11 family interacting protein 3
ANKRD17,ankyrin repeat domain 17
FASN,fatty acid synthase
CYTB,cytochrome b
CSAD,cysteine sulfinic acid decarboxylase
SUPT7L,"SPT7 like, STAGA complex subunit gamma"
IGFBP5,insulin like growth factor binding protein 5
CLEC4G,C-type lectin domain family 4 member G
PVALB,parvalbumin
SNAPC1,small nuclear RNA activating complex polypeptide 1
ABHD18,abhydrolase domain containing 18
LOC105379337,
PSAPL1,prosaposin like 1
UPF2,UPF2 regulator of nonsense mediated mRNA decay
VSIG10L2,V-set and immunoglobulin domain containing 10 like 2
LOC644634,uncharacterized LOC644634
MHENCR,melanoma highly expressed competing endogenous lncRNA for miR-425 and miR-489
LOC105372479,uncharacterized LOC105372479
LOC102723576,uncharacterized LOC102723576
ECPAS,Ecm29 proteasome adaptor and scaffold
SDR16C5,short chain dehydrogenase/reductase family 16C member 5
FAM215B,family with sequence similarity 215 member B
S1PR3,sphingosine-1-phosphate receptor 3
RNF133,ring finger protein 133
TMX2-CTNND1,TMX2-CTNND1 readthrough (NMD candidate)
CTNNBIP1,catenin beta interacting protein 1
FIBCD1,fibrinogen C domain containing 1
MIR324,microRNA 324
LINC02300,long intergenic non-protein coding RNA 2300
LOC105374843,uncharacterized LOC105374843
TYMP,thymidine phosphorylase
GPNMB,glycoprotein nmb
EMG1,EMG1 N1-specific pseudouridine methyltransferase
SERAC1,serine active site containing 1
MAP1LC3A,microtubule associated protein 1 light chain 3 alpha
SMDT1,single-pass membrane protein with aspartate rich tail 1
TAS2R5,taste 2 receptor member 5
ANKRD9,ankyrin repeat domain 9
LOC105372733,uncharacterized LOC105372733
SUSD1,sushi domain containing 1
PLD1,phospholipase D1
SPTSSA,serine palmitoyltransferase small subunit A
ELMOD3,ELMO domain containing 3
NUP98,nucleoporin 98 and 96 precursor
LOC105376025,uncharacterized LOC105376025
LOC101927897,uncharacterized LOC101927897
ARHGEF26-AS1,ARHGEF26 antisense RNA 1
CAMK2G,calcium/calmodulin dependent protein kinase II gamma
LOC105379549,uncharacterized LOC105379549
ADAP2,ArfGAP with dual PH domains 2
MRPL34,mitochondrial ribosomal protein L34
PRMT8,protein arginine methyltransferase 8
EWSR1,EWS RNA binding protein 1
LOC105377506,uncharacterized LOC105377506
MUS81,MUS81 structure-specific endonuclease subunit
LOC101928212,uncharacterized LOC101928212
SDHB,succinate dehydrogenase complex iron sulfur subunit B
RIOK2,RIO kinase 2
TRAV38-2DV8,T cell receptor alpha variable 38-2/delta variable 8
TMSB4X,thymosin beta 4 X-linked
LOC105369689,uncharacterized LOC105369689
ZNF354C,zinc finger protein 354C
PTP4A1,protein tyrosine phosphatase 4A1
EIF1AX,eukaryotic translation initiation factor 1A X-linked
RDH5,retinol dehydrogenase 5
LRFN1,leucine rich repeat and fibronectin type III domain containing 1
YAP1,Yes1 associated transcriptional regulator
TES,testin LIM domain protein
LINS1,lines homolog 1
CES2,carboxylesterase 2
ZNF626,zinc finger protein 626
RAB3C,"RAB3C, member RAS oncogene family"
FAM114A2,family with sequence similarity 114 member A2
MIR4517,microRNA 4517
NECAB3,N-terminal EF-hand calcium binding protein 3
ZBTB10,zinc finger and BTB domain containing 10
WARS2,"tryptophanyl tRNA synthetase 2, mitochondrial"
CEP57,centrosomal protein 57
ICAM1,intercellular adhesion molecule 1
RPRML,reprimo like
PBX4,PBX homeobox 4
MTMR12,myotubularin related protein 12
SNHG18,small nucleolar RNA host gene 18
GTF2E1,general transcription factor IIE subunit 1
LOC102724624,uncharacterized protein ENSP00000382042-like
PELI1,pellino E3 ubiquitin protein ligase 1
TREH,trehalase
MAMSTR,MEF2 activating motif and SAP domain containing transcriptional regulator
LOC102724219,uncharacterized LOC102724219
LOC105369953,
LOC100130331,"POTE ankyrin domain family, member F pseudogene"
LOC107985162,uncharacterized LOC107985162
TMEM132D,transmembrane protein 132D
LINC02569,long intergenic non-protein coding RNA 2569
SSNA1,SS nuclear autoantigen 1
ATAD1,ATPase family AAA domain containing 1
LOC107985067,
SLA2,Src like adaptor 2
SLC25A32,solute carrier family 25 member 32
HLA-DPB1,"major histocompatibility complex, class II, DP beta 1"
LINC02057,long intergenic non-protein coding RNA 2057
POLR3B,RNA polymerase III subunit B
VCPIP1,valosin containing protein interacting protein 1
KIRREL3,kirre like nephrin family adhesion molecule 3
RAD52,"RAD52 homolog, DNA repair protein"
MIR193BHG,MIR193b-365a host gene
C2orf42,chromosome 2 open reading frame 42
BPNT2,"3'(2'), 5'-bisphosphate nucleotidase 2"
SNORA3B,"small nucleolar RNA, H/ACA box 3B"
FBXL17,F-box and leucine rich repeat protein 17
LOC107986599,uncharacterized LOC107986599
OR2A7,olfactory receptor family 2 subfamily A member 7
ODC1,ornithine decarboxylase 1
LINC02273,long intergenic non-protein coding RNA 2273
LOC105378620,uncharacterized LOC105378620
CCDC77,coiled-coil domain containing 77
TOMM7,translocase of outer mitochondrial membrane 7
LOC112268090,uncharacterized LOC112268090
RTN4RL1,reticulon 4 receptor like 1
LOC101928228,uncharacterized LOC101928228
TRNS1,tRNA-Ser
C12orf76,chromosome 12 open reading frame 76
KCNS1,potassium voltage-gated channel modifier subfamily S member 1
LOC107985481,
RPL5,ribosomal protein L5
LCA5L,lebercilin LCA5 like
SETD1B,"SET domain containing 1B, histone lysine methyltransferase"
PREP,prolyl endopeptidase
CENPB,centromere protein B
IL2RG,interleukin 2 receptor subunit gamma
CEL,carboxyl ester lipase
ZKSCAN8,zinc finger with KRAB and SCAN domains 8
LOC105375787,uncharacterized LOC105375787
GCHFR,GTP cyclohydrolase I feedback regulator
PARGP1-AGAP4,PARGP1-AGAP4 readthrough
USE1,unconventional SNARE in the ER 1
UBE2R2,ubiquitin conjugating enzyme E2 R2
LOC101929309,uncharacterized LOC101929309
AHI1,Abelson helper integration site 1
LOC100131257,zinc finger protein 655 pseudogene
PABIR3,PABIR family member 3
LOC107985188,
LOC105373553,uncharacterized LOC105373553
FAM8A1,family with sequence similarity 8 member A1
RNF8,ring finger protein 8
MTMR8,myotubularin related protein 8
IL6R,interleukin 6 receptor
MALT1,MALT1 paracaspase
PGM2,phosphoglucomutase 2
PAXBP1,PAX3 and PAX7 binding protein 1
LOC730183,uncharacterized LOC730183
TRAV25,T cell receptor alpha variable 25
NAMPT,nicotinamide phosphoribosyltransferase
LL21NC02-21A1.1,uncharacterized LL21NC02-21A1.1
PATL1,"PAT1 homolog 1, processing body mRNA decay factor"
NBR1,NBR1 autophagy cargo receptor
SLC25A3,solute carrier family 25 member 3
ACOT8,acyl-CoA thioesterase 8
KIAA0232,KIAA0232
GOLGA8B,golgin A8 family member B
SGMS2,sphingomyelin synthase 2
TRAK1,trafficking kinesin protein 1
SQOR,sulfide quinone oxidoreductase
LOC101927947,uncharacterized LOC101927947
HOOK3,hook microtubule tethering protein 3
FCHSD1,FCH and double SH3 domains 1
BET1-AS1,BET1 antisense RNA 1
SEC23A-AS1,SEC23A antisense RNA 1
CLASP1,cytoplasmic linker associated protein 1
C11orf58,chromosome 11 open reading frame 58
LOC107985010,replaced by ID 57690
LRRC17,leucine rich repeat containing 17
LOC101927759,uncharacterized LOC101927759
SLC7A6OS,solute carrier family 7 member 6 opposite strand
MAP3K14,mitogen-activated protein kinase kinase kinase 14
POFUT1,protein O-fucosyltransferase 1
TBILA,TGF-beta induced lncRNA
ACTG1P20,actin gamma 1 pseudogene 20
SLCO1C1,solute carrier organic anion transporter family member 1C1
GTF3C4,general transcription factor IIIC subunit 4
ATG10,autophagy related 10
LOC105376707,
CYP4Z2P,"cytochrome P450 family 4 subfamily Z member 2, pseudogene"
ACYP1,acylphosphatase 1
ZNF221,zinc finger protein 221
PMPCB,"peptidase, mitochondrial processing subunit beta"
SRRM5,serine/arginine repetitive matrix 5
HLA-DMB,"major histocompatibility complex, class II, DM beta"
MIR198,microRNA 198
TTC39B,tetratricopeptide repeat domain 39B
CDC25B,cell division cycle 25B
LOC105371441,
LOC105378969,uncharacterized LOC105378969
PIH1D2,PIH1 domain containing 2
HYCC1,hyccin PI4KA lipid kinase complex subunit 1
PANK3,pantothenate kinase 3
HPS1-AS1,HPS1 antisense RNA 1
CFAP36,cilia and flagella associated protein 36
RYK,receptor like tyrosine kinase
RBM25,RNA binding motif protein 25
C11orf71,chromosome 11 open reading frame 71
IL10RB,interleukin 10 receptor subunit beta
LOC105373117,
SRFBP1,serum response factor binding protein 1
MRO,maestro
PIANP,PILR alpha associated neural protein
USP13,ubiquitin specific peptidase 13
IL21,interleukin 21
PIM3,"Pim-3 proto-oncogene, serine/threonine kinase"
TTC41P,"tetratricopeptide repeat domain 41, pseudogene"
TREML1,triggering receptor expressed on myeloid cells like 1
TMEM250,transmembrane protein 250
PRKAR2A,protein kinase cAMP-dependent type II regulatory subunit alpha
AMZ1,archaelysin family metallopeptidase 1
KLK1,kallikrein 1
LOC107985595,uncharacterized LOC107985595
CNOT7,CCR4-NOT transcription complex subunit 7
RNF24,ring finger protein 24
SCAF8,SR-related CTD associated factor 8
SP140,SP140 nuclear body protein
CRISP3,cysteine rich secretory protein 3
LOC112267866,
SLC25A43,solute carrier family 25 member 43
ELN,elastin
CLMN,calmin
ZNF230-DT,ZNF230 divergent transcript
LOC105378512,uncharacterized LOC105378512
NBPF11,NBPF member 11
LINC02982,long intergenic non-protein coding RNA 2982
C5orf34-AS1,C5orf34 antisense RNA 1
ZNF362,zinc finger protein 362
C18orf25,chromosome 18 open reading frame 25
STXBP5,syntaxin binding protein 5
ITPRIPL1,ITPRIP like 1
FAM220CP,"family with sequence similarity 220 member C, pseudogene"
SLC36A1,solute carrier family 36 member 1
LOC105370910,uncharacterized LOC105370910
ZNF84,zinc finger protein 84
EID2,EP300 interacting inhibitor of differentiation 2
MEG8,"maternally expressed 8, small nucleolar RNA host gene"
QRSL1,glutaminyl-tRNA amidotransferase subunit QRSL1
DIAPH3,diaphanous related formin 3
TBKBP1,TBK1 binding protein 1
LOC112268189,
CCL2,C-C motif chemokine ligand 2
TOR1B,torsin family 1 member B
MT1G,metallothionein 1G
LLPH-DT,LLPH divergent transcript
SNX29,sorting nexin 29
LOC101927044,uncharacterized LOC101927044
LOC105373490,uncharacterized LOC105373490
SNAPC5,small nuclear RNA activating complex polypeptide 5
LINC01504,long intergenic non-protein coding RNA 1504
TNFAIP2,TNF alpha induced protein 2
MIDEAS-AS1,MIDEAS antisense RNA 1
GOLGA6L5P,"golgin A6 family like 5, pseudogene"
SMIM13,small integral membrane protein 13
TMEM120B,transmembrane protein 120B
ZNF528,zinc finger protein 528
SGSM1,small G protein signaling modulator 1
PIAS4,protein inhibitor of activated STAT 4
APPBP2,amyloid beta precursor protein binding protein 2
WHAMM,"WASP homolog associated with actin, golgi membranes and microtubules"
ZNF148,zinc finger protein 148
RPS9,ribosomal protein S9
TRNS2,tRNA-Ser
SDC4,syndecan 4
PPP1R15B,protein phosphatase 1 regulatory subunit 15B
PRRT2,proline rich transmembrane protein 2
CD5,CD5 molecule
LOC105374085,uncharacterized LOC105374085
LOC105374809,uncharacterized LOC105374809
ATG4C,autophagy related 4C cysteine peptidase
LOC105378890,uncharacterized LOC105378890
OAF,out at first homolog
LOC107986383,uncharacterized LOC107986383
RPL7A,ribosomal protein L7a
SNORA109,"small nucleolar RNA, H/ACA box 109"
FKBP8,FKBP prolyl isomerase 8
KCTD3,potassium channel tetramerization domain containing 3
SMARCAD1,"SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1"
FAM149B1,family with sequence similarity 149 member B1
SIRT4,sirtuin 4
MT1E,metallothionein 1E
PIGY,phosphatidylinositol glycan anchor biosynthesis class Y
PYURF,PIGY upstream open reading frame
ANXA2P2,annexin A2 pseudogene 2
LOC105375061,uncharacterized LOC105375061
ATE1-AS1,ATE1 antisense RNA 1
LOC107986458,uncharacterized LOC107986458
CKB,creatine kinase B
LOC105374013,
ZNF410,zinc finger protein 410
MIR3916,microRNA 3916
LOC107986712,
FAM156B,family with sequence similarity 156 member B
TUBGCP6,tubulin gamma complex associated protein 6
PAX8-AS1,PAX8 antisense RNA 1
RHEBL1,RHEB like 1
LOC100129503,
LOC105375924,uncharacterized LOC105375924
KIFBP,kinesin family binding protein
LOC112268072,
LOC105372795,replaced by ID 51227
AMN1,antagonist of mitotic exit network 1 homolog
LOC105371046,uncharacterized LOC105371046
ERCC1,"ERCC excision repair 1, endonuclease non-catalytic subunit"
STOML1,stomatin like 1
RGPD1,RANBP2 like and GRIP domain containing 1
MPP2,MAGUK p55 scaffold protein 2
CRYZL2P-SEC16B,CRYZL2P-SEC16B readthrough
RNF145,ring finger protein 145
ZNF652-AS1,ZNF652 antisense RNA 1
ARID3A,AT-rich interaction domain 3A
RHD,Rh blood group D antigen
LOC105373033,uncharacterized LOC105373033
MAPKAPK5-AS1,MAPKAPK5 antisense RNA 1
SELENOO,selenoprotein O
PIGBOS1,PIGB opposite strand 1
PSMD9,"proteasome 26S subunit, non-ATPase 9"
TMA7,translation machinery associated 7 homolog
ZNF204P,"zinc finger protein 204, pseudogene"
RAET1G,retinoic acid early transcript 1G
HPS1,HPS1 biogenesis of lysosomal organelles complex 3 subunit 1
TRAV13-1,T cell receptor alpha variable 13-1
TCHP,trichoplein keratin filament binding
LOC105377499,uncharacterized LOC105377499
EFCAB14,EF-hand calcium binding domain 14
TDGF1,teratocarcinoma-derived growth factor 1
ZNF727,zinc finger protein 727
MOB4,"MOB family member 4, phocein"
TTC9-DT,TTC9 divergent transcript
OPN1SW,"opsin 1, short wave sensitive"
MKKS,MKKS centrosomal shuttling protein
HERC2P10,HERC2 pseudogene 10
IQCD,IQ motif containing D
LOC102724151,putative POM121-like protein 1
KIAA1958,KIAA1958
TMEM161B-DT,TMEM161B divergent transcript
PCDHB17P,protocadherin beta 17 pseudogene
RPP38-DT,RPP38 divergent transcript
UPF3A,UPF3A regulator of nonsense mediated mRNA decay
OLIG1,oligodendrocyte transcription factor 1
KIAA0753,KIAA0753
LOC105376652,uncharacterized LOC105376652
ZFHX4,zinc finger homeobox 4
NOSIP,nitric oxide synthase interacting protein
PPWD1,peptidylprolyl isomerase domain and WD repeat containing 1
TRBV7-6,T cell receptor beta variable 7-6
LOC105373096,uncharacterized LOC105373096
CCDC144BP,"coiled-coil domain containing 144B, pseudogene"
ABHD10,"abhydrolase domain containing 10, depalmitoylase"
SURF6,surfeit 6
ATP1A3,ATPase Na+/K+ transporting subunit alpha 3
ICAM3,intercellular adhesion molecule 3
RAB7A,"RAB7A, member RAS oncogene family"
LOC107986664,
LOC101926959,uncharacterized LOC101926959
MFHAS1,multifunctional ROCO family signaling regulator 1
ITCH,itchy E3 ubiquitin protein ligase
CHD1-DT,CHD1 divergent transcript
MMGT1,membrane magnesium transporter 1
TCP11,t-complex 11
ZGLP1,zinc finger GATA like protein 1
BNC1,basonuclin 1
LOC102724951,uncharacterized LOC102724951
TMSB15B,thymosin beta 15B
SYBU,syntabulin
POLG,"DNA polymerase gamma, catalytic subunit"
LOC105377212,uncharacterized LOC105377212
FAM88D,family with sequence similarity 88 member D
RPL26,ribosomal protein L26
KCNJ15,potassium inwardly rectifying channel subfamily J member 15
LRRK1,leucine rich repeat kinase 1
LOC107985524,uncharacterized LOC107985524
MIR4442,microRNA 4442
CMSS1,cms1 ribosomal small subunit homolog
LOC101929161,uncharacterized LOC101929161
NYNRIN,NYN domain and retroviral integrase containing
HERC5,HECT and RLD domain containing E3 ubiquitin protein ligase 5
ACVR2B,activin A receptor type 2B
POMT1,protein O-mannosyltransferase 1
LOC107986963,
MAP1A,microtubule associated protein 1A
WASH8P,"WAS protein family homolog 8, pseudogene"
PDE8A,phosphodiesterase 8A
C4orf46P3,C4orf46 pseudogene 3
AIP,aryl hydrocarbon receptor interacting protein
SERPINB4,serpin family B member 4
PLOD3,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 3"
PPP1R13B,protein phosphatase 1 regulatory subunit 13B
HOXB5,homeobox B5
LOC107987365,uncharacterized LOC107987365
IPO11-LRRC70,IPO11-LRRC70 readthrough
GPR137C,G protein-coupled receptor 137C
LOC105371870,uncharacterized LOC105371870
SLC47A2,solute carrier family 47 member 2
CCL26,C-C motif chemokine ligand 26
TIPARP-AS1,TIPARP antisense RNA 1
LOC107985211,uncharacterized LOC107985211
CBLN3,cerebellin 3 precursor
GALNT17,polypeptide N-acetylgalactosaminyltransferase 17
IGFBP4,insulin like growth factor binding protein 4
LOC440311,NOP53 ribosome biogenesis factor pseudogene
CNOT6L,CCR4-NOT transcription complex subunit 6 like
PNMA1,PNMA family member 1
SDK1-AS1,SDK1 antisense RNA 1
C6orf226,chromosome 6 open reading frame 226
ZNRF3,zinc and ring finger 3
EXOSC10,exosome component 10
MON1B,"MON1 homolog B, secretory trafficking associated"
ZNF14,zinc finger protein 14
CMTM4,CKLF like MARVEL transmembrane domain containing 4
UNC5B-AS1,UNC5B antisense RNA 1
GDPD3,glycerophosphodiester phosphodiesterase domain containing 3
SYT3,synaptotagmin 3
DIP2A,disco interacting protein 2 homolog A
FTL,ferritin light chain
ZKSCAN1,zinc finger with KRAB and SCAN domains 1
SLAIN1,SLAIN motif family member 1
HSBP1L1,heat shock factor binding protein 1 like 1
ZNF554,zinc finger protein 554
CLDN16,claudin 16
AEBP1,AE binding protein 1
TRAV12-2,T cell receptor alpha variable 12-2
PHYKPL,5-phosphohydroxy-L-lysine phospho-lyase
LRRC40,leucine rich repeat containing 40
SWT1,SWT1 RNA endoribonuclease homolog
DCTN4,dynactin subunit 4
RGPD2,RANBP2 like and GRIP domain containing 2
ADAMTS7,ADAM metallopeptidase with thrombospondin type 1 motif 7
DMRTA1,DMRT like family A1
NOTCH2NLA,notch 2 N-terminal like A
RPL9,ribosomal protein L9
IKBKG,inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
ATG4A,autophagy related 4A cysteine peptidase
TNRC6A,trinucleotide repeat containing adaptor 6A
HELZ,helicase with zinc finger
LOC105370205,uncharacterized LOC105370205
STARD7-AS1,STARD7 antisense RNA 1
RELL2,RELT like 2
DHRS7B,dehydrogenase/reductase 7B
LOC102723360,uncharacterized LOC102723360
MYH14,myosin heavy chain 14
ST3GAL1,"ST3 beta-galactoside alpha-2,3-sialyltransferase 1"
LOC105371115,uncharacterized LOC105371115
ZNF765,zinc finger protein 765
CHP1P2,CHP1 pseudogene 2
CEBPA,CCAAT enhancer binding protein alpha
CFHR1,complement factor H related 1
LINC00632,long intergenic non-protein coding RNA 632
TMEM17,transmembrane protein 17
LTBP1,latent transforming growth factor beta binding protein 1
C2orf74,chromosome 2 open reading frame 74
LINC02878,long intergenic non-protein coding RNA 2878
ENO4,enolase 4
MIG7,replaced by ID 8412
DVL2,dishevelled segment polarity protein 2
PLCB2,phospholipase C beta 2
NDUFA3,NADH:ubiquinone oxidoreductase subunit A3
APOBEC3D,apolipoprotein B mRNA editing enzyme catalytic subunit 3D
L3MBTL4,L3MBTL histone methyl-lysine binding protein 4
ANKRD44-IT1,ANKRD44 intronic transcript 1
LYRM1,LYR motif containing 1
RASSF8-AS1,RASSF8 antisense RNA 1
MIR6840,microRNA 6840
MUL1,mitochondrial E3 ubiquitin protein ligase 1
